country,continent,lifeExp,pop,gdpPercap
Afghanistan,Asia,41.763,22227415,635.341351
Albania,Europe,72.95,3428038,3193.054604
Algeria,Africa,69.152,29072015,4797.295051
Angola,Africa,40.963,9875024,2277.140884
Argentina,Americas,73.275,36203463,10967.28195
Australia,Oceania,78.83,18565243,26997.93657
Austria,Europe,77.51,8069876,29095.92066
Bahrain,Asia,73.925,598561,20292.01679
Bangladesh,Asia,59.412,123315288,972.7700352
Belgium,Europe,77.53,10199787,27561.19663
Benin,Africa,54.777,6066080,1232.975292
Bolivia,Americas,62.05,7693188,3326.143191
Bosnia and Herzegovina,Europe,73.244,3607000,4766.355904
Botswana,Africa,52.556,1536536,8647.142313
Brazil,Americas,69.388,168546719,7957.980824
Bulgaria,Europe,70.32,8066057,5970.38876
Burkina Faso,Africa,50.324,10352843,946.2949618
Burundi,Africa,45.326,6121610,463.1151478
Cambodia,Asia,56.534,11782962,734.28517
Cameroon,Africa,52.199,14195809,1694.337469
Canada,Americas,78.61,30305843,28954.92589
Central African Republic,Africa,46.066,3696513,740.5063317
Chad,Africa,51.573,7562011,1004.961353
Chile,Americas,75.816,14599929,10118.05318
China,Asia,70.426,1230075000,2289.234136
Colombia,Americas,70.313,37657830,6117.361746
Comoros,Africa,60.66,527982,1173.618235
"Congo, Dem. Rep.",Africa,42.587,47798986,312.188423
"Congo, Rep.",Africa,52.962,2800947,3484.164376
Costa Rica,Americas,77.26,3518107,6677.045314
Cote d'Ivoire,Africa,47.991,14625967,1786.265407
Croatia,Europe,73.68,4444595,9875.604515
Cuba,Americas,76.151,10983007,5431.990415
Czech Republic,Europe,74.01,10300707,16048.51424
Denmark,Europe,76.11,5283663,29804.34567
Djibouti,Africa,53.157,417908,1895.016984
Dominican Republic,Americas,69.957,7992357,3614.101285
Ecuador,Americas,72.312,11911819,7429.455877
Egypt,Africa,67.217,66134291,4173.181797
El Salvador,Americas,69.535,5783439,5154.825496
Equatorial Guinea,Africa,48.245,439971,2814.480755
Eritrea,Africa,53.378,4058319,913.47079
Ethiopia,Africa,49.402,59861301,515.8894013
Finland,Europe,77.13,5134406,23723.9502
France,Europe,78.64,58623428,25889.78487
Gabon,Africa,60.461,1126189,14722.84188
Gambia,Africa,55.861,1235767,653.7301704
Germany,Europe,77.34,82011073,27788.88416
Ghana,Africa,58.556,18418288,1005.245812
Greece,Europe,77.869,10502372,18747.69814
Guatemala,Americas,66.322,9803875,4684.313807
Guinea,Africa,51.455,8048834,869.4497668
Guinea-Bissau,Africa,44.873,1193708,796.6644681
Haiti,Americas,56.671,6913545,1341.726931
Honduras,Americas,67.659,5867957,3160.454906
"Hong Kong, China",Asia,80,6495918,28377.63219
Hungary,Europe,71.04,10244684,11712.7768
Iceland,Europe,78.95,271192,28061.09966
India,Asia,61.765,959000000,1458.817442
Indonesia,Asia,66.041,199278000,3119.335603
Iran,Asia,68.042,63327987,8263.590301
Iraq,Asia,58.811,20775703,3076.239795
Ireland,Europe,76.122,3667233,24521.94713
Israel,Asia,78.269,5531387,20896.60924
Italy,Europe,78.82,57479469,24675.02446
Jamaica,Americas,72.262,2531311,7121.924704
Japan,Asia,80.69,125956499,28816.58499
Jordan,Asia,69.772,4526235,3645.379572
Kenya,Africa,54.407,28263827,1360.485021
"Korea, Dem. Rep.",Asia,67.727,21585105,1690.756814
"Korea, Rep.",Asia,74.647,46173816,15993.52796
Kuwait,Asia,76.156,1765345,40300.619960000004
Lebanon,Asia,70.265,3430388,8754.96385
Lesotho,Africa,55.558,1982823,1186.147994
Liberia,Africa,42.221,2200725,609.17395079999994
Libya,Africa,71.555,4759670,9467.446056
Madagascar,Africa,54.978,14165114,986.2958956
Malawi,Africa,47.495,10419991,692.2758103
Malaysia,Asia,71.938,20476091,10132.90964
Mali,Africa,49.903,9384984,790.2579846
Mauritania,Africa,60.43,2444741,1483.136136
Mauritius,Africa,70.736,1149818,7425.705295
Mexico,Americas,73.67,95895146,9767.29753
Mongolia,Asia,63.625,2494803,1902.2521
Montenegro,Europe,75.445,692651,6465.613349
Morocco,Africa,67.66,28529501,2982.101858
Mozambique,Africa,46.344,16603334,472.3460771
Myanmar,Asia,60.328,43247867,415
Namibia,Africa,58.909,1774766,3899.52426
Nepal,Asia,59.426,23001113,1010.892138
Netherlands,Europe,78.03,15604464,30246.13063
New Zealand,Oceania,77.55,3676187,21050.41377
Nicaragua,Americas,68.426,4609572,2253.023004
Niger,Africa,51.313,9666252,580.3052092
Nigeria,Africa,47.464,106207839,1624.941275
Norway,Europe,78.32,4405672,41283.16433
Oman,Asia,72.499,2283635,19702.05581
Pakistan,Asia,61.818,135564834,2049.350521
