country,continent,lifeExp,pop,gdpPercap
Afghanistan,Asia,34.02,11537966,836.1971382
Albania,Europe,66.22,1984060,2760.196931
Algeria,Africa,51.407,12760499,3246.991771
Angola,Africa,35.985,5247469,5522.776375
Argentina,Americas,65.634,22934225,8052.953021
Australia,Oceania,71.1,11872264,14526.12465
Austria,Europe,70.14,7376998,12834.6024
Bahrain,Asia,59.923,202182,14804.6727
Bangladesh,Asia,43.453,62821884,721.1860862
Belgium,Europe,70.94,9556500,13149.04119
Benin,Africa,44.885,2427334,1035.831411
Bolivia,Americas,45.032,4040665,2586.886053
Bosnia and Herzegovina,Europe,64.79,3585000,2172.352423
Botswana,Africa,53.298,553541,1214.709294
Brazil,Americas,57.632,88049823,3429.864357
Bulgaria,Europe,70.42,8310226,5577.0028
Burkina Faso,Africa,40.697,5127935,794.8265597
Burundi,Africa,43.548,3330989,412.9775136
Cambodia,Asia,45.415,6960067,523.4323142
Cameroon,Africa,44.799,6335506,1508.453148
Canada,Americas,72.13,20819767,16076.58803
Central African Republic,Africa,41.478,1733638,1136.056615
Chad,Africa,43.601,3495967,1196.810565
Chile,Americas,60.523,8858908,5106.654313
China,Asia,58.38112,754550000,612.7056934
Colombia,Americas,59.963,19764027,2678.729839
Comoros,Africa,46.472,217378,1876.029643
"Congo, Dem. Rep.",Africa,44.056,19941073,861.5932424
"Congo, Rep.",Africa,52.04,1179760,2677.939642
Costa Rica,Americas,65.424,1588717,4161.727834
Cote d'Ivoire,Africa,47.35,4744870,2052.050473
Croatia,Europe,68.5,4174366,6960.297861
Cuba,Americas,68.29,8139332,5690.268015
Czech Republic,Europe,70.38,9835109,11399.44489
Denmark,Europe,72.96,4838800,15937.21123
Djibouti,Africa,42.074,127617,3020.050513
Dominican Republic,Americas,56.751,4049146,1653.723003
Ecuador,Americas,56.678,5432424,4579.074215
Egypt,Africa,49.293,31681188,1814.880728
El Salvador,Americas,55.855,3232927,4358.595393
Equatorial Guinea,Africa,38.987,259864,915.5960025
Eritrea,Africa,42.189,1820319,468.7949699
Ethiopia,Africa,42.115,27860297,516.1186438
Finland,Europe,69.83,4605744,10921.63626
France,Europe,71.55,49569000,12999.91766
Gabon,Africa,44.598,489004,8358.761987
Gambia,Africa,35.857,439593,734.7829124
Germany,Europe,70.8,76368453,14745.62561
Ghana,Africa,48.072,8490213,1125.69716
Greece,Europe,71,8716441,8513.097016
Guatemala,Americas,50.016,4690773,3242.531147
Guinea,Africa,37.197,3451418,708.7595409
Guinea-Bissau,Africa,35.492,601287,715.5806402
Haiti,Americas,46.243,4318137,1452.057666
Honduras,Americas,50.924,2500689,2538.269358
"Hong Kong, China",Asia,70,3722800,6197.962814
Hungary,Europe,69.5,10223422,9326.64467
Iceland,Europe,73.73,198676,13319.89568
India,Asia,47.193,506000000,700.7706107
Indonesia,Asia,45.964,109343000,762.4317721
Iran,Asia,52.469,26538000,5906.731805
Iraq,Asia,54.459,8519282,8931.459811
Ireland,Europe,71.08,2900100,7655.568963
Israel,Asia,70.75,2693585,8393.741404
Italy,Europe,71.06,52667100,10022.40131
Jamaica,Americas,67.51,1861096,6124.703451
Japan,Asia,71.43,100825279,9847.788607
Jordan,Asia,51.629,1255058,2741.796252
Kenya,Africa,50.654,10191512,1056.736457
"Korea, Dem. Rep.",Asia,59.942,12617009,2143.540609
"Korea, Rep.",Asia,57.716,30131000,2029.228142
Kuwait,Asia,64.624,575003,80894.88326
Lebanon,Asia,63.87,2186894,6006.983042
Lesotho,Africa,48.492,996380,498.6390265
Liberia,Africa,41.536,1279406,713.6036483
Libya,Africa,50.227,1759224,18772.75169
Madagascar,Africa,42.881,6334556,1634.047282
Malawi,Africa,39.487,4147252,495.5147806
Malaysia,Asia,59.371,10154878,2277.742396
Mali,Africa,38.487,5212416,545.0098873
Mauritania,Africa,46.289,1230542,1421.145193
Mauritius,Africa,61.557,789309,2475.387562
Mexico,Americas,60.11,47995559,5754.733883
Mongolia,Asia,51.253,1149500,1226.04113
Montenegro,Europe,67.178,501035,5907.850937
Morocco,Africa,50.335,14770296,1711.04477
Mozambique,Africa,38.113,8680909,566.6691539
Myanmar,Asia,49.379,25870271,349
Namibia,Africa,51.159,706640,3793.694753
Nepal,Asia,41.472,11261690,676.4422254
Netherlands,Europe,73.82,12596822,15363.25136
New Zealand,Oceania,71.52,2728150,14463.91893
Nicaragua,Americas,51.884,1865490,4643.393534
Niger,Africa,40.118,4534062,1054.384891
Nigeria,Africa,41.04,47287752,1014.514104
Norway,Europe,74.08,3786019,16361.87647
Oman,Asia,46.988,714775,4720.942687
Pakistan,Asia,49.8,60641899,942.4082588
Panama,Americas,64.071,1405486,4421.009084
Paraguay,Americas,64.951,2287985,2299.376311
Peru,Americas,51.445,12132200,5788.09333
Philippines,Asia,56.393,35356600,1814.12743
Poland,Europe,69.61,31785378,6557.152776
Portugal,Europe,66.6,9103000,6361.517993
Puerto Rico,Americas,71.1,2648961,6929.277714
Reunion,Africa,60.542,414024,4021.175739
Romania,Europe,66.8,19284814,6470.866545
Rwanda,Africa,44.1,3451079,510.9637142
Sao Tome and Principe,Africa,54.425,70787,1384.840593
Saudi Arabia,Asia,49.901,5618198,16903.04886
Senegal,Africa,43.563,3965841,1612.404632
Serbia,Europe,66.914,7971222,7991.707066
Sierra Leone,Africa,34.113,2662190,1206.043465
Singapore,Asia,67.946,1977600,4977.41854
Slovak Republic,Europe,70.98,4442238,8412.902397
Slovenia,Europe,69.18,1646912,9405.489397
Somalia,Africa,38.977,3428839,1284.73318
South Africa,Africa,51.927,20997321,7114.477971
Spain,Europe,71.44,32850275,7993.512294
Sri Lanka,Asia,64.266,11737396,1135.514326
Sudan,Africa,42.858,12716129,1687.997641
Swaziland,Africa,46.633,420690,2613.101665
Sweden,Europe,74.16,7867931,15258.29697
