country,continent,lifeExp,pop,gdpPercap
Afghanistan,Asia,30.332,9240934,820.8530296
Albania,Europe,59.28,1476505,1942.284244
Algeria,Africa,45.685,10270856,3013.976023
Angola,Africa,31.999,4561361,3827.940465
Argentina,Americas,64.399,19610538,6856.856212
Australia,Oceania,70.33,9712569,10949.64959
Austria,Europe,67.48,6965860,8842.59803
Bahrain,Asia,53.832,138655,11635.79945
Bangladesh,Asia,39.348,51365468,661.6374577
Belgium,Europe,69.24,8989111,9714.960623
Benin,Africa,40.358,1925173,959.6010805
Bolivia,Americas,41.89,3211738,2127.686326
Bosnia and Herzegovina,Europe,58.45,3076000,1353.989176
Botswana,Africa,49.618,474639,918.2325349
Brazil,Americas,53.285,65551171,2487.365989
Bulgaria,Europe,66.61,7651254,3008.670727
Burkina Faso,Africa,34.906,4713416,617.1834648
Burundi,Africa,40.533,2667518,379.5646281
Cambodia,Asia,41.366,5322536,434.0383364
Cameroon,Africa,40.428,5359923,1313.048099
Canada,Americas,69.96,17010154,12489.95006
Central African Republic,Africa,37.464,1392284,1190.844328
Chad,Africa,39.881,2894855,1308.495577
Chile,Americas,56.074,7048426,4315.622723
China,Asia,50.54896,637408000,575.9870009
Colombia,Americas,55.118,14485993,2323.805581
Comoros,Africa,42.46,170928,1211.148548
"Congo, Dem. Rep.",Africa,40.652,15577932,905.8602303
"Congo, Rep.",Africa,45.053,940458,2315.056572
Costa Rica,Americas,60.026,1112300,2990.010802
Cote d'Ivoire,Africa,42.469,3300000,1500.895925
Croatia,Europe,64.77,3991242,4338.231617
Cuba,Americas,62.325,6640752,6092.174359
Czech Republic,Europe,69.03,9513758,8256.343918
Denmark,Europe,71.81,4487831,11099.65935
Djibouti,Africa,37.328,71851,2864.969076
Dominican Republic,Americas,49.828,2923186,1544.402995
Ecuador,Americas,51.356,4058385,3780.546651
Egypt,Africa,44.444,25009741,1458.915272
El Salvador,Americas,48.57,2355805,3421.523218
Equatorial Guinea,Africa,35.983,232922,426.0964081
Eritrea,Africa,38.047,1542611,344.1618859
Ethiopia,Africa,36.667,22815614,378.9041632
Finland,Europe,67.49,4324000,7545.415386
France,Europe,68.93,44310863,8662.834898
Gabon,Africa,38.999,434904,4976.198099
Gambia,Africa,32.065,323150,520.9267111
Germany,Europe,69.1,71019069,10187.82665
Ghana,Africa,44.779,6391288,1043.561537
Greece,Europe,67.86,8096218,4916.299889
Guatemala,Americas,44.142,3640876,2617.155967
Guinea,Africa,34.558,2876726,576.2670245
Guinea-Bissau,Africa,33.489,601095,431.7904566
Haiti,Americas,40.696,3507701,1726.887882
Honduras,Americas,44.665,1770390,2220.487682
"Hong Kong, China",Asia,64.75,2736300,3629.076457
Hungary,Europe,66.41,9839000,6040.180011
Iceland,Europe,73.47,165110,9244.001412
India,Asia,40.249,409000000,590.061996
Indonesia,Asia,39.918,90124000,858.9002707
Iran,Asia,47.181,19792000,3290.257643
Iraq,Asia,48.437,6248643,6229.333562
Ireland,Europe,68.9,2878220,5599.077872
Israel,Asia,67.84,1944401,5385.278451
Italy,Europe,67.81,49182000,6248.656232
Jamaica,Americas,62.61,1535090,4756.525781
Japan,Asia,65.5,91563009,4317.694365
Jordan,Asia,45.669,746559,1886.080591
Kenya,Africa,44.686,7454779,944.4383152
"Korea, Dem. Rep.",Asia,54.081,9411381,1571.134655
"Korea, Rep.",Asia,52.681,22611552,1487.593537
Kuwait,Asia,58.033,212846,113523.1329
Lebanon,Asia,59.489,1647412,6089.786934
Lesotho,Africa,45.047,813338,335.9971151
Liberia,Africa,39.486,975950,620.9699901
Libya,Africa,45.289,1201578,3448.284395
Madagascar,Africa,38.865,5181679,1589.20275
Malawi,Africa,37.207,3221238,416.3698064
Malaysia,Asia,52.102,7739235,1810.066992
Mali,Africa,35.307,4241884,490.3821867
Mauritania,Africa,42.338,1076852,846.1202613
Mauritius,Africa,58.089,609816,2034.037981
Mexico,Americas,55.19,35015548,4131.546641
Mongolia,Asia,45.248,882134,912.6626085
Montenegro,Europe,61.448,442829,3682.259903
Morocco,Africa,45.423,11406350,1642.002314
Mozambique,Africa,33.779,7038035,495.5868333
Myanmar,Asia,41.905,21731844,350
Namibia,Africa,45.226,548080,2621.448058
Nepal,Asia,37.686,9682338,597.9363558
Netherlands,Europe,72.99,11026383,11276.19344
New Zealand,Oceania,70.26,2229407,12247.39532
Nicaragua,Americas,45.432,1358828,3457.415947
Niger,Africa,38.598,3692184,835.5234025
Nigeria,Africa,37.802,37173340,1100.592563
Norway,Europe,73.44,3491938,11653.97304
Oman,Asia,40.08,561977,2242.746551
Pakistan,Asia,45.557,46679944,747.0835292
Panama,Americas,59.201,1063506,2961.800905
Paraguay,Americas,63.196,1770902,2046.154706
Peru,Americas,46.263,9146100,4245.256698
Philippines,Asia,51.334,26072194,1547.944844
Poland,Europe,65.77,28235346,4734.253019
Portugal,Europe,61.51,8817650,3774.571743
Puerto Rico,Americas,68.54,2260000,3907.156189
Reunion,Africa,55.09,308700,2769.451844
Romania,Europe,64.1,17829327,3943.370225
Rwanda,Africa,41.5,2822082,540.2893983
Sao Tome and Principe,Africa,48.945,61325,860.7369026
Saudi Arabia,Asia,42.868,4419650,8157.591248
Senegal,Africa,39.329,3054547,1567.653006
Serbia,Europe,61.685,7271135,4981.090891
Sierra Leone,Africa,31.57,2295678,1004.484437
