country,continent,lifeExp,pop,gdpPercap
Afghanistan,Asia,31.997,10267083,853.10071
Albania,Europe,64.82,1728137,2312.888958
Algeria,Africa,48.303,11000948,2550.81688
Angola,Africa,34,4826015,4269.276742
Argentina,Americas,65.142,21283783,7133.166023
Australia,Oceania,70.93,10794968,12217.22686
Austria,Europe,69.54,7129864,10750.72111
Bahrain,Asia,56.923,171863,12753.27514
Bangladesh,Asia,41.216,56839289,686.3415538
Belgium,Europe,70.25,9218400,10991.20676
Benin,Africa,42.618,2151895,949.4990641
Bolivia,Americas,43.428,3593918,2180.972546
Bosnia and Herzegovina,Europe,61.93,3349000,1709.683679
Botswana,Africa,51.52,512764,983.6539764
Brazil,Americas,55.665,76039390,3336.585802
Bulgaria,Europe,69.51,8012946,4254.337839
Burkina Faso,Africa,37.814,4919632,722.5120206
Burundi,Africa,42.045,2961915,355.2032273
Cambodia,Asia,43.415,6083619,496.9136476
Cameroon,Africa,42.643,5793633,1399.607441
Canada,Americas,71.3,18985849,13462.48555
Central African Republic,Africa,39.475,1523478,1193.068753
Chad,Africa,41.716,3150417,1389.817618
Chile,Americas,57.924,7961258,4519.094331
China,Asia,44.50136,665770000,487.6740183
Colombia,Americas,57.863,17009885,2492.351109
Comoros,Africa,44.467,191689,1406.648278
"Congo, Dem. Rep.",Africa,42.122,17486434,896.3146335
"Congo, Rep.",Africa,48.435,1047924,2464.783157
Costa Rica,Americas,62.842,1345187,3460.937025
Cote d'Ivoire,Africa,44.93,3832408,1728.869428
Croatia,Europe,67.13,4076557,5477.890018
Cuba,Americas,65.246,7254373,5180.75591
Czech Republic,Europe,69.9,9620282,10136.86713
Denmark,Europe,72.35,4646899,13583.31351
Djibouti,Africa,39.693,89898,3020.989263
Dominican Republic,Americas,53.459,3453434,1662.137359
Ecuador,Americas,54.64,4681707,4086.114078
Egypt,Africa,46.992,28173309,1693.335853
El Salvador,Americas,52.307,2747687,3776.803627
Equatorial Guinea,Africa,37.485,249220,582.8419714
Eritrea,Africa,40.158,1666618,380.9958433
Ethiopia,Africa,40.059,25145372,419.4564161
Finland,Europe,68.75,4491443,9371.842561
France,Europe,70.51,47124000,10560.48553
Gabon,Africa,40.489,455661,6631.459222
Gambia,Africa,33.896,374020,599.650276
Germany,Europe,70.3,73739117,12902.46291
Ghana,Africa,46.452,7355248,1190.041118
Greece,Europe,69.51,8448233,6017.190733
Guatemala,Americas,46.954,4208858,2750.364446
Guinea,Africa,35.753,3140003,686.3736739
Guinea-Bissau,Africa,34.488,627820,522.0343725
Haiti,Americas,43.59,3880130,1796.589032
Honduras,Americas,48.041,2090162,2291.156835
"Hong Kong, China",Asia,67.65,3305200,4692.648272
Hungary,Europe,67.96,10063000,7550.359877
Iceland,Europe,73.68,182053,10350.15906
India,Asia,43.605,454000000,658.3471509
Indonesia,Asia,42.518,99028000,849.2897701
Iran,Asia,49.325,22874000,4187.329802
Iraq,Asia,51.457,7240260,8341.737815
Ireland,Europe,70.29,2830000,6631.597314
Israel,Asia,69.39,2310904,7105.630706
Italy,Europe,69.24,50843200,8243.58234
Jamaica,Americas,65.61,1665128,5246.107524
Japan,Asia,68.73,95831757,6576.649461
Jordan,Asia,48.126,933559,2348.009158
Kenya,Africa,47.949,8678557,896.9663732
"Korea, Dem. Rep.",Asia,56.656,10917494,1621.693598
"Korea, Rep.",Asia,55.292,26420307,1536.344387
Kuwait,Asia,60.47,358266,95458.11176
Lebanon,Asia,62.094,1886848,5714.560611
Lesotho,Africa,47.747,893143,411.8006266
Liberia,Africa,40.502,1112796,634.1951625
Libya,Africa,47.808,1441863,6757.030816
Madagascar,Africa,40.848,5703324,1643.38711
Malawi,Africa,38.41,3628608,427.9010856
Malaysia,Asia,55.737,8906385,2036.884944
Mali,Africa,36.936,4690372,496.1743428
Mauritania,Africa,44.248,1146757,1055.896036
Mauritius,Africa,60.246,701016,2529.067487
Mexico,Americas,58.299,41121485,4581.609385
Mongolia,Asia,48.251,1010280,1056.353958
Montenegro,Europe,63.728,474528,4649.593785
Morocco,Africa,47.924,13056604,1566.353493
Mozambique,Africa,36.161,7788944,556.6863539
Myanmar,Asia,45.108,23634436,388
Namibia,Africa,48.386,621392,3173.215595
Nepal,Asia,39.393,10332057,652.3968593
Netherlands,Europe,73.23,11805689,12790.84956
New Zealand,Oceania,71.24,2488550,13175.678
Nicaragua,Americas,48.632,1590597,3634.364406
Niger,Africa,39.487,4076008,997.7661127
Nigeria,Africa,39.36,41871351,1150.927478
Norway,Europe,73.47,3638919,13450.40151
Oman,Asia,43.165,628164,2924.638113
Pakistan,Asia,47.67,53100671,803.3427418
Panama,Americas,61.817,1215725,3536.540301
Paraguay,Americas,64.361,2009813,2148.027146
Peru,Americas,49.096,10516500,4957.037982
Philippines,Asia,54.757,30325264,1649.552153
Poland,Europe,67.64,30329617,5338.752143
Portugal,Europe,64.39,9019800,4727.954889
Puerto Rico,Americas,69.62,2448046,5108.34463
Reunion,Africa,57.666,358900,3173.72334
Romania,Europe,66.8,18680721,4734.997586
Rwanda,Africa,43,3051242,597.4730727
Sao Tome and Principe,Africa,51.893,65345,1071.551119
Saudi Arabia,Asia,45.914,4943029,11626.41975
Senegal,Africa,41.454,3430243,1654.988723
Serbia,Europe,64.531,7616060,6289.629157
Sierra Leone,Africa,32.767,2467895,1116.639877
Singapore,Asia,65.798,1750200,3674.735572
Slovak Republic,Europe,70.33,4237384,7481.107598
Slovenia,Europe,69.15,1582962,7402.303395
Somalia,Africa,36.981,3080153,1369.488336
South Africa,Africa,49.951,18356657,5768.729717
Spain,Europe,69.69,31158061,5693.843879
Sri Lanka,Asia,62.192,10421936,1074.47196
Sudan,Africa,40.87,11183227,1959.593767
Swaziland,Africa,44.992,370006,1856.182125
Sweden,Europe,73.37,7561588,12329.44192
Switzerland,Europe,71.32,5666000,20431.0927
Syria,Asia,50.305,4834621,2193.037133
Taiwan,Asia,65.2,11918938,1822.879028
Tanzania,Africa,44.246,10863958,722.0038073
Thailand,Asia,56.061,29263397,1002.199172
Togo,Africa,43.922,1528098,1067.53481
Trinidad and Tobago,Americas,64.9,887498,4997.523971
Tunisia,Africa,49.579,4286552,1660.30321
Turkey,Europe,52.098,29788695,2322.869908
Uganda,Africa,45.344,7688797,767.2717398
United Kingdom,Europe,70.76,53292000,12477.17707
United States,Americas,70.21,186538000,16173.14586
Uruguay,Americas,68.253,2598466,5603.357717
Venezuela,Americas,60.77,8143375,8422.974165
Vietnam,Asia,45.363,33796140,772.0491602
West Bank and Gaza,Asia,48.127,1133134,2198.956312
"Yemen, Rep.",Asia,35.18,6120081,825.6232006
Zambia,Africa,46.023,3421000,1452.725766
Zimbabwe,Africa,52.358,4277736,527.2721818
