country,continent,lifeExp,pop,gdpPercap
Afghanistan,Asia,38.438,14880372,786.11336
Albania,Europe,68.93,2509048,3533.00391
Algeria,Africa,58.014,17152804,4910.416756
Angola,Africa,39.483,6162675,3008.647355
Argentina,Americas,68.481,26983828,10079.02674
Australia,Oceania,73.49,14074100,18334.19751
Austria,Europe,72.17,7568430,19749.4223
Bahrain,Asia,65.593,297410,19340.10196
Bangladesh,Asia,46.923,80428306,659.8772322
Belgium,Europe,72.8,9821800,19117.97448
Benin,Africa,49.19,3168267,1029.161251
Bolivia,Americas,50.023,5079716,3548.097832
Bosnia and Herzegovina,Europe,69.86,4086000,3528.481305
Botswana,Africa,59.319,781472,3214.857818
Brazil,Americas,61.489,114313951,6660.118654
Bulgaria,Europe,70.81,8797022,7612.240438
Burkina Faso,Africa,46.137,5889574,743.3870368
Burundi,Africa,45.91,3834415,556.1032651
Cambodia,Asia,31.22,6978607,524.9721832
Cameroon,Africa,49.355,7959865,1783.432873
Canada,Americas,74.21,23796400,22090.88306
Central African Republic,Africa,46.775,2167533,1109.374338
Chad,Africa,47.383,4388260,1133.98495
Chile,Americas,67.052,10599793,4756.763836
China,Asia,63.96736,943455000,741.2374699
Colombia,Americas,63.837,25094412,3815.80787
Comoros,Africa,50.939,304739,1172.603047
"Congo, Dem. Rep.",Africa,47.804,26480870,795.757282
"Congo, Rep.",Africa,55.625,1536769,3259.178978
Costa Rica,Americas,70.75,2108457,5926.876967
Cote d'Ivoire,Africa,52.374,7459574,2517.736547
Croatia,Europe,70.64,4318673,11305.38517
Cuba,Americas,72.649,9537988,6380.494966
Czech Republic,Europe,70.71,10161915,14800.16062
Denmark,Europe,74.69,5088419,20422.9015
Djibouti,Africa,46.519,228694,3081.761022
Dominican Republic,Americas,61.788,5302800,2681.9889
Ecuador,Americas,61.31,7278866,6679.62326
Egypt,Africa,53.319,38783863,2785.493582
El Salvador,Americas,56.696,4282586,5138.922374
Equatorial Guinea,Africa,42.024,192675,958.5668124
Eritrea,Africa,44.535,2512642,505.7538077
Ethiopia,Africa,44.51,34617799,556.8083834
Finland,Europe,72.52,4738902,15605.42283
France,Europe,73.83,53165019,18292.63514
Gabon,Africa,52.79,706367,21745.57328
Gambia,Africa,41.842,608274,884.7552507
Germany,Europe,72.5,78160773,20512.92123
Ghana,Africa,51.756,10538093,993.2239571
Greece,Europe,73.68,9308479,14195.52428
Guatemala,Americas,56.029,5703430,4879.992748
Guinea,Africa,40.762,4227026,874.6858643
Guinea-Bissau,Africa,37.465,745228,764.7259628
Haiti,Americas,49.923,4908554,1874.298931
Honduras,Americas,57.402,3055235,3203.208066
"Hong Kong, China",Asia,73.6,4583700,11186.14125
Hungary,Europe,69.95,10637171,11674.83737
Iceland,Europe,76.11,221823,19654.96247
India,Asia,54.208,634000000,813.337323
Indonesia,Asia,52.702,136725000,1382.702056
Iran,Asia,57.702,35480679,11888.59508
Iraq,Asia,60.413,11882916,14688.23507
Ireland,Europe,72.03,3271900,11150.98113
Israel,Asia,73.06,3495918,13306.61921
Italy,Europe,73.48,56059245,14255.98475
Jamaica,Americas,70.11,2156814,6650.195573
Japan,Asia,75.38,113872473,16610.37701
Jordan,Asia,61.134,1937652,2852.351568
Kenya,Africa,56.155,14500404,1267.613204
"Korea, Dem. Rep.",Asia,67.159,16325320,4106.301249
"Korea, Rep.",Asia,64.766,36436000,4657.22102
Kuwait,Asia,69.343,1140357,59265.47714
Lebanon,Asia,66.099,3115787,8659.696836
Lesotho,Africa,52.208,1251524,745.3695408
Liberia,Africa,43.764,1703617,640.3224383
Libya,Africa,57.442,2721783,21951.21176
Madagascar,Africa,46.881,8007166,1544.228586
Malawi,Africa,43.767,5637246,663.2236766
Malaysia,Asia,65.256,12845381,3827.921571
Mali,Africa,41.714,6491649,686.3952693
Mauritania,Africa,50.852,1456688,1497.492223
Mauritius,Africa,64.93,913025,3710.982963
Mexico,Americas,65.032,63759976,7674.929108
Mongolia,Asia,55.491,1528000,1647.511665
Montenegro,Europe,73.066,560073,9595.929905
Morocco,Africa,55.73,18396941,2370.619976
Mozambique,Africa,42.495,11127868,502.3197334
Myanmar,Asia,56.059,31528087,371
Namibia,Africa,56.437,977026,3876.485958
Nepal,Asia,46.748,13933198,694.1124398
Netherlands,Europe,75.24,13852989,21209.0592
New Zealand,Oceania,72.22,3164900,16233.7177
Nicaragua,Americas,57.47,2554598,5486.371089
Niger,Africa,41.291,5682086,808.8970728
Nigeria,Africa,44.514,62209173,1981.951806
Norway,Europe,75.37,4043205,23311.34939
Oman,Asia,57.367,1004533,11848.34392
Pakistan,Asia,54.043,78152686,1175.921193
Panama,Americas,68.681,1839782,5351.912144
Paraguay,Americas,66.353,2984494,3248.373311
Peru,Americas,58.447,15990099,6281.290855
Philippines,Asia,60.06,46850962,2373.204287
Poland,Europe,70.67,34621254,9508.141454
Portugal,Europe,70.41,9662600,10172.48572
Puerto Rico,Americas,73.44,3080828,9770.524921
Reunion,Africa,67.064,492095,4319.804067
Romania,Europe,69.46,21658597,9356.39724
Rwanda,Africa,45,4657072,670.0806011
Sao Tome and Principe,Africa,58.55,86796,1737.561657
Saudi Arabia,Asia,58.69,8128505,34167.7626
Senegal,Africa,48.879,5260855,1561.769116
Serbia,Europe,70.3,8686367,12980.66956
Sierra Leone,Africa,36.788,3140897,1348.285159
Singapore,Asia,70.795,2325300,11210.08948
Slovak Republic,Europe,70.45,4827803,10922.66404
Slovenia,Europe,70.97,1746919,15277.03017
Somalia,Africa,41.974,4353666,1450.992513
South Africa,Africa,55.527,27129932,8028.651439
Spain,Europe,74.39,36439000,13236.92117
Sri Lanka,Asia,65.949,14116836,1348.775651
Sudan,Africa,47.8,17104986,2202.988423
Swaziland,Africa,52.537,551425,3781.410618
Sweden,Europe,75.44,8251648,18855.72521
Switzerland,Europe,75.39,6316424,26982.29052
Syria,Asia,61.195,7932503,3195.484582
Taiwan,Asia,70.59,16785196,5596.519826
Tanzania,Africa,49.919,17129565,962.4922932
Thailand,Asia,62.494,44148285,1961.224635
Togo,Africa,52.887,2308582,1532.776998
Trinidad and Tobago,Americas,68.3,1039009,7899.554209
Tunisia,Africa,59.837,6005061,3120.876811
Turkey,Europe,59.507,42404033,4269.122326
Uganda,Africa,50.35,11457758,843.7331372
United Kingdom,Europe,72.76,56179000,17428.74846
