country,continent,lifeExp,pop,gdpPercap
Afghanistan,Asia,39.854,12881816,978.0114388
Albania,Europe,70.42,2780097,3630.880722
Algeria,Africa,61.368,20033753,5745.160213
Angola,Africa,39.942,7016384,2756.953672
Argentina,Americas,69.942,29341374,8997.897412
Australia,Oceania,74.74,15184200,19477.00928
Austria,Europe,73.18,7574613,21597.08362
Bahrain,Asia,69.052,377967,19211.14731
Bangladesh,Asia,50.009,93074406,676.9818656
Belgium,Europe,73.93,9856303,20979.84589
Benin,Africa,50.904,3641603,1277.897616
Bolivia,Americas,53.859,5642224,3156.510452
Bosnia and Herzegovina,Europe,70.69,4172693,4126.613157
Botswana,Africa,61.484,970347,4551.14215
Brazil,Americas,63.336,128962939,7030.835878
Bulgaria,Europe,71.08,8892098,8224.191647
Burkina Faso,Africa,48.122,6634596,807.1985855
Burundi,Africa,47.471,4580410,559.603231
Cambodia,Asia,50.957,7272485,624.4754784
Cameroon,Africa,52.961,9250831,2367.983282
Canada,Americas,75.76,25201900,22898.79214
Central African Republic,Africa,48.295,2476971,956.7529907
Chad,Africa,49.517,4875118,797.9081006
Chile,Americas,70.565,11487112,5095.665738
China,Asia,65.525,1000281000,962.4213805
Colombia,Americas,66.653,27764644,4397.575659
Comoros,Africa,52.933,348643,1267.100083
"Congo, Dem. Rep.",Africa,47.784,30646495,673.7478181
"Congo, Rep.",Africa,56.695,1774735,4879.507522
Costa Rica,Americas,73.45,2424367,5262.734751
Cote d'Ivoire,Africa,53.983,9025951,2602.710169
Croatia,Europe,70.46,4413368,13221.82184
Cuba,Americas,73.717,9789224,7316.918107
Czech Republic,Europe,70.96,10303704,15377.22855
Denmark,Europe,74.63,5117810,21688.04048
Djibouti,Africa,48.812,305991,2879.468067
Dominican Republic,Americas,63.727,5968349,2861.092386
Ecuador,Americas,64.342,8365850,7213.791267
Egypt,Africa,56.006,45681811,3503.729636
El Salvador,Americas,56.604,4474873,4098.344175
Equatorial Guinea,Africa,43.662,285483,927.8253427
Eritrea,Africa,43.89,2637297,524.8758493
Ethiopia,Africa,44.916,38111756,577.8607471
Finland,Europe,74.55,4826933,18533.15761
France,Europe,74.89,54433565,20293.89746
Gabon,Africa,56.564,753874,15113.36194
Gambia,Africa,45.58,715523,835.8096108
Germany,Europe,73.8,78335266,22031.53274
Ghana,Africa,53.744,11400338,876.032569
Greece,Europe,75.24,9786480,15268.42089
Guatemala,Americas,58.137,6395630,4820.49479
Guinea,Africa,42.891,4710497,857.2503577
Guinea-Bissau,Africa,39.327,825987,838.1239671
Haiti,Americas,51.461,5198399,2011.159549
Honduras,Americas,60.909,3669448,3121.760794
"Hong Kong, China",Asia,75.45,5264500,14560.53051
Hungary,Europe,69.39,10705535,12545.99066
Iceland,Europe,76.99,233997,23269.6075
India,Asia,56.596,708000000,855.7235377
Indonesia,Asia,56.159,153343000,1516.872988
Iran,Asia,59.62,43072751,7608.334602
Iraq,Asia,62.038,14173318,14517.90711
Ireland,Europe,73.1,3480000,12618.32141
Israel,Asia,74.45,3858421,15367.0292
Italy,Europe,74.98,56535636,16537.4835
Jamaica,Americas,71.21,2298309,6068.05135
Japan,Asia,77.11,118454974,19384.10571
Jordan,Asia,63.739,2347031,4161.415959
Kenya,Africa,58.766,17661452,1348.225791
"Korea, Dem. Rep.",Asia,69.1,17647518,4106.525293
"Korea, Rep.",Asia,67.123,39326000,5622.942464
Kuwait,Asia,71.309,1497494,31354.03573
Lebanon,Asia,66.983,3086876,7640.519521
Lesotho,Africa,55.078,1411807,797.2631074
Liberia,Africa,44.852,1956875,572.1995694
Libya,Africa,62.155,3344074,17364.27538
Madagascar,Africa,48.969,9171477,1302.878658
Malawi,Africa,45.642,6502825,632.8039209
Malaysia,Asia,68,14441916,4920.355951
Mali,Africa,43.916,6998256,618.0140641
Mauritania,Africa,53.599,1622136,1481.150189
Mauritius,Africa,66.711,992040,3688.037739
Mexico,Americas,67.405,71640904,9611.147541
Mongolia,Asia,57.489,1756032,2000.603139
Montenegro,Europe,74.101,562548,11222.58762
Morocco,Africa,59.65,20198730,2702.620356
Mozambique,Africa,42.795,12587223,462.2114149
Myanmar,Asia,58.056,34680442,424
Namibia,Africa,58.968,1099010,4191.100511
Nepal,Asia,49.594,15796314,718.3730947
Netherlands,Europe,76.05,14310401,21399.46046
New Zealand,Oceania,73.84,3210650,17632.4104
Nicaragua,Americas,59.298,2979423,3470.338156
Niger,Africa,42.598,6437188,909.7221354
Nigeria,Africa,45.826,73039376,1576.97375
Norway,Europe,75.97,4114787,26298.63531
Oman,Asia,62.728,1301048,12954.79101
Pakistan,Asia,56.158,91462088,1443.429832
Panama,Americas,70.472,2036305,7009.601598
Paraguay,Americas,66.874,3366439,4258.503604
Peru,Americas,61.406,18125129,6434.501797
Philippines,Asia,62.082,53456774,2603.273765
Poland,Europe,71.32,36227381,8451.531004
Portugal,Europe,72.77,9859650,11753.84291
Puerto Rico,Americas,73.75,3279001,10330.98915
Reunion,Africa,69.885,517810,5267.219353
Romania,Europe,69.66,22356726,9605.314053
Rwanda,Africa,46.218,5507565,881.5706467
Sao Tome and Principe,Africa,60.351,98593,1890.218117
Saudi Arabia,Asia,63.012,11254672,33693.17525
Senegal,Africa,52.379,6147783,1518.479984
Serbia,Europe,70.162,9032824,15181.0927
Sierra Leone,Africa,38.445,3464522,1465.010784
Singapore,Asia,71.76,2651869,15169.16112
Slovak Republic,Europe,70.8,5048043,11348.54585
Slovenia,Europe,71.063,1861252,17866.72175
Somalia,Africa,42.955,5828892,1176.807031
South Africa,Africa,58.161,31140029,8568.266228
Spain,Europe,76.3,37983310,13926.16997
Sri Lanka,Asia,68.757,15410151,1648.079789
Sudan,Africa,50.338,20367053,1895.544073
Swaziland,Africa,55.561,649901,3895.384018
